timestamp,model,task_id,prompt_tokens,response_tokens,duration_sec,cost_usd
2025-05-21T01:52:51.087477,gpt-4o-mini,gpt4o:8057077:2,843,27,1.34,0.00261
2025-05-21T01:52:52.259588,gpt-4o-mini,gpt4o:8057077:5,860,31,1.17,0.002673
2025-05-21T01:52:53.331319,gpt-4o-mini,gpt4o:8057077:10,853,37,1.07,0.00267
2025-05-21T01:52:54.153607,gpt-4o-mini,gpt4o:8057077:11,848,26,0.82,0.002622
2025-05-21T01:52:55.086462,gpt-4o-mini,gpt4o:8057077:12,826,29,0.93,0.002565
2025-05-21T01:52:56.122321,gpt-4o-mini,gpt4o:27168519:12,2162,28,1.03,0.00657
2025-05-21T01:52:57.166888,gpt-4o-mini,gpt4o:27168519:13,2006,35,1.04,0.006123
2025-05-21T01:52:58.227079,gpt-4o-mini,gpt4o:27168519:14,1964,39,1.06,0.006009
2025-05-21T01:52:59.585399,gpt-4o-mini,gpt4o:27168519:15,2068,34,1.36,0.006306
2025-05-21T01:53:01.896744,gpt-4o-mini,gpt4o:27168519:16,1959,43,2.31,0.006006
2025-05-21T01:53:02.427118,gpt-4o-mini,gpt4o:27168519:17,2327,5,0.53,0.006996
2025-05-21T01:53:02.966505,gpt-4o-mini,unknown,2443,5,0.54,0.007344
2025-05-21T01:53:03.615789,gpt-4o-mini,unknown,2443,5,0.65,0.007344
2025-05-21T01:53:04.655914,gpt-4o-mini,gpt4o:27168519:19,1931,31,1.04,0.005886
2025-05-21T01:53:06.267394,gpt-4o-mini,gpt4o:27168519:20,1934,40,1.61,0.005922
2025-05-21T01:53:07.249538,gpt-4o-mini,gpt4o:27168519:21,1919,30,0.98,0.005847
2025-05-21T01:53:08.270422,gpt-4o-mini,gpt4o:27168519:22,1925,27,1.02,0.005856
2025-05-21T01:53:09.088261,gpt-4o-mini,gpt4o:20203436:1,489,24,0.81,0.001539
2025-05-21T01:53:10.225146,gpt-4o-mini,gpt4o:20203436:4,490,30,1.14,0.00156
2025-05-21T01:53:11.505869,gpt-4o-mini,gpt4o:20203436:5,504,42,1.28,0.001638
2025-05-21T01:53:13.730637,gpt-4o-mini,gpt4o:27353385:2,1315,34,2.22,0.004047
2025-05-21T01:53:14.781435,gpt-4o-mini,gpt4o:27353385:20,1417,37,1.05,0.004362
2025-05-21T01:53:15.955822,gpt-4o-mini,gpt4o:27353385:22,1362,37,1.17,0.004197
2025-05-21T01:53:17.121949,gpt-4o-mini,gpt4o:27353385:23,1355,38,1.17,0.004179
2025-05-21T01:53:18.319635,gpt-4o-mini,gpt4o:27353385:24,1304,34,1.2,0.004014
2025-05-21T01:53:19.397913,gpt-4o-mini,gpt4o:27353385:26,1326,37,1.08,0.004089
2025-05-21T01:53:21.042410,gpt-4o-mini,gpt4o:27353385:28,1310,37,1.64,0.004041
2025-05-21T01:53:22.028441,gpt-4o-mini,gpt4o:27353385:30,1323,33,0.98,0.004068
2025-05-21T01:53:22.764445,gpt-4o-mini,gpt4o:27353385:33,1288,19,0.74,0.003921
2025-05-21T01:53:23.687619,gpt-4o-mini,gpt4o:9294935:4,426,28,0.92,0.001362
2025-05-21T01:53:25.183408,gpt-4o-mini,gpt4o:23388799:2,477,39,1.49,0.001548
2025-05-21T01:53:26.128216,gpt-4o-mini,gpt4o:32272430:5,603,24,0.94,0.001881
2025-05-21T01:53:27.054342,gpt-4o-mini,gpt4o:32272430:6,628,23,0.93,0.001953
2025-05-21T01:53:28.137488,gpt-4o-mini,gpt4o:32272430:7,615,39,1.08,0.001962
2025-05-21T01:53:29.528092,gpt-4o-mini,gpt4o:17722706:9,932,50,1.39,0.002946
2025-05-21T01:53:30.735798,gpt-4o-mini,gpt4o:17722706:10,925,46,1.21,0.002913
2025-05-21T02:02:20.848689,gpt-4o-mini,gpt4o:8057077:2,856,5,0.72,0.002583
2025-05-21T02:02:21.538501,gpt-4o-mini,unknown,972,5,0.69,0.002931
2025-05-21T02:02:21.945907,gpt-4o-mini,unknown,972,5,0.41,0.002931
2025-05-21T02:02:22.792173,gpt-4o-mini,gpt4o:8057077:5,873,31,0.85,0.002712
2025-05-21T02:06:10.530977,gpt-4o-mini,gpt4o:8057077:2,856,5,0.57,0.002583
2025-05-21T02:06:11.032419,gpt-4o-mini,unknown,972,5,0.5,0.002931
2025-05-21T02:06:12.123644,gpt-4o-mini,unknown,972,5,1.09,0.002931
2025-05-21T02:06:12.960246,gpt-4o-mini,gpt4o:8057077:5,873,31,0.84,0.002712
2025-05-21T02:09:46.942333,gpt-4o-mini,gpt4o:8057077:2,884,27,1.36,0.002733
2025-05-21T02:09:47.841741,gpt-4o-mini,unknown,964,27,0.9,0.002973
2025-05-21T02:09:48.646747,gpt-4o-mini,unknown,964,27,0.8,0.002973
2025-05-21T02:09:49.641486,gpt-4o-mini,gpt4o:8057077:5,901,31,0.99,0.002796
2025-05-21T02:09:50.551797,gpt-4o-mini,unknown,990,31,0.91,0.003063
2025-05-21T02:09:51.507913,gpt-4o-mini,unknown,990,31,0.96,0.003063
2025-05-21T02:09:52.785104,gpt-4o-mini,gpt4o:8057077:10,894,38,1.28,0.002796
2025-05-21T02:09:53.660943,gpt-4o-mini,unknown,987,38,0.87,0.003075
2025-05-21T02:09:54.556190,gpt-4o-mini,unknown,987,38,0.89,0.003075
2025-05-21T02:09:55.862166,gpt-4o-mini,gpt4o:8057077:11,889,26,1.31,0.002745
2025-05-21T02:09:56.946204,gpt-4o-mini,unknown,972,26,1.08,0.002994
2025-05-21T02:09:57.821089,gpt-4o-mini,unknown,972,26,0.87,0.002994
2025-05-21T02:09:58.660093,gpt-4o-mini,gpt4o:8057077:12,867,27,0.84,0.002682
2025-05-21T02:09:59.476809,gpt-4o-mini,unknown,949,27,0.82,0.002928
2025-05-21T02:10:00.383091,gpt-4o-mini,unknown,949,27,0.91,0.002928
2025-05-21T02:10:01.545721,gpt-4o-mini,gpt4o:27168519:12,2203,28,1.16,0.006693
2025-05-21T02:14:00.674264,gpt-4o-mini,gpt4o:8057077:2,994,29,1.05,0.003069
2025-05-21T02:14:03.405266,gpt-4o-mini,gpt4o:8057077:5,1011,66,2.73,0.003231
2025-05-21T02:14:05.277628,gpt-4o-mini,gpt4o:8057077:10,1004,61,1.87,0.003195
2025-05-21T02:14:06.028722,gpt-4o-mini,gpt4o:8057077:11,999,30,0.75,0.003087
2025-05-21T02:14:06.953639,gpt-4o-mini,gpt4o:8057077:12,977,27,0.92,0.003012
2025-05-21T02:14:07.809216,gpt-4o-mini,gpt4o:27168519:12,2313,28,0.85,0.007023
2025-05-21T02:14:09.898048,gpt-4o-mini,gpt4o:27168519:13,2157,35,2.09,0.006576
2025-05-21T02:14:11.375847,gpt-4o-mini,gpt4o:27168519:14,2115,39,1.48,0.006462
2025-05-21T02:14:12.153397,gpt-4o-mini,gpt4o:27168519:15,2219,37,0.78,0.006768
2025-05-21T02:14:13.472802,gpt-4o-mini,gpt4o:27168519:16,2110,39,1.32,0.006447
2025-05-21T02:14:15.237544,gpt-4o-mini,gpt4o:27168519:17,2478,78,1.76,0.007668
2025-05-21T02:14:16.376073,gpt-4o-mini,gpt4o:27168519:19,2082,51,1.14,0.006399
2025-05-21T02:14:17.495237,gpt-4o-mini,gpt4o:27168519:20,2085,50,1.12,0.006405
2025-05-21T02:14:18.681024,gpt-4o-mini,gpt4o:27168519:21,2070,30,1.18,0.0063
2025-05-21T02:14:20.037758,gpt-4o-mini,gpt4o:27168519:22,2076,27,1.36,0.006309
2025-05-21T02:14:21.190801,gpt-4o-mini,gpt4o:20203436:1,640,29,1.15,0.002007
2025-05-21T02:14:22.206010,gpt-4o-mini,gpt4o:20203436:4,641,30,1.01,0.002013
2025-05-21T02:14:23.520411,gpt-4o-mini,gpt4o:20203436:5,655,42,1.31,0.002091
2025-05-21T02:14:24.902932,gpt-4o-mini,gpt4o:27353385:2,1466,32,1.38,0.004494
2025-05-21T02:14:25.678330,gpt-4o-mini,gpt4o:27353385:20,1568,40,0.77,0.004824
2025-05-21T02:14:27.110259,gpt-4o-mini,gpt4o:27353385:22,1513,38,1.43,0.004653
2025-05-21T02:14:28.539252,gpt-4o-mini,gpt4o:27353385:23,1506,66,1.43,0.004716
2025-05-21T02:14:29.460714,gpt-4o-mini,gpt4o:27353385:24,1455,35,0.92,0.00447
2025-05-21T02:14:31.976616,gpt-4o-mini,gpt4o:27353385:26,1477,37,2.52,0.004542
