path,purpose,phase
report/master_research_report.md,Writer-facing master dossier; RQs headline/supporting; §1–§12; writing_support pointers,project
report/master_report_manifest.json,Manifest of sources sections timestamps gaps,project
reports/dataset_inventory_summary_v2.md,Dataset acquisition tiers BRONCO/CIViCmine/Precision-O status; backbone vs weak vs engineering gaps,inventory
reports/tables/dataset_status_decision.csv,Staging and role per dataset_id,inventory
reports/tables/oncology_pair_projection.csv,Heuristic oncology retention and pair-type projections,oncology_projection
oncology_projection/reports/oncology_projection_audit.md,Layer A/B/C framing; per-corpus retention; T1–T6 training implications,oncology_projection
schema_exploration/reports/schema_exploration_report.md,S1–S4 vs S2_current; external anchor audit; S2_refined_* upgrade path,schema_exploration
schema_exploration/reports/tables/schema_comparison_summary.csv,Internal candidate schema scores and packaging simulation,schema_exploration
schema_exploration/reports/tables/external_anchor_gap_audit.csv,S2 gap audit vs external entity/relation/pairing anchors,schema_exploration
schema_exploration/reports/tables/refined_schema_quality_metrics.csv,Composite external-alignment and trainability scores for S2 vs refined variants,schema_exploration
training_data_generation/reports/training_data_generation_report.md,T1–T4 package stats; readiness; S2 mapping; leakage flags,training_data_generation
training_data_generation/reports/tables/package_readiness_matrix.csv,Per-package readiness_level for trainer routing,training_data_generation
fine_tuning_experiments/reports/fine_tuning_experiment_design_and_submission_report.md,Scientific trainer; registry batch; GPU validation,fine_tuning
fine_tuning_experiments/reports/result_triage_and_rerun_strategy_report.md,First-pass 31-run triage; anomalies M026/S001/S002; rerun plan,fine_tuning
fine_tuning_experiments/reports/rerun_results_report.md,High-budget multi-seed HR results; headline F1; next external eval shortlist,fine_tuning
fine_tuning_experiments/reports/tables/rerun_main_aggregated_results.csv,Machine-readable aggregate macro F1 per base experiment,fine_tuning
fine_tuning_experiments/reports/tables/rerun_seed_level_results.csv,Per-seed metrics for stability analysis,fine_tuning
fine_tuning_experiments/reports/tables/rerun_anomaly_table.csv,Structured anomaly flags (trajectory swing majority collapse etc.),fine_tuning
external_evaluation/manifests/checkpoint_integrity_audit.csv,Strict state_dict audit for representative checkpoints,external_evaluation
external_evaluation/manifests/external_eval_gate_decision.json,proceed/blocked gate after loader + sanity eval,external_evaluation
external_evaluation/manifests/evaluation_model_registry.csv,Shortlist bases roles and checkpoint policy,external_evaluation
external_evaluation/reports/tables/primary_external_results.csv,Layer A split_external benchmark aggregates when present,external_evaluation
external_evaluation/reports/external_evaluation_report.md,Compact executive summary + pointers after full + smoke runs complete,external_evaluation
external_evaluation/reports/external_evaluation_comprehensive_report.md,Subproject dossier; closure §14; DrugProt formal blocker; human audit deferred,external_evaluation
external_evaluation/manifests/drugprot_gap_diagnosis.json,Root-cause trace: no test split in t1_drugprot jsonl,external_evaluation
external_evaluation/manifests/drugprot_unresolved_status.json,Formal DrugProt benchmark blocker (data/packaging),external_evaluation
external_evaluation/manifests/external_evaluation_closure_status.json,Subproject closure flags for master integration,external_evaluation
external_evaluation/manifests/external_eval_consistency_audit.json,Cross-table consistency audit after closure pass,external_evaluation
external_evaluation/reports/tables/drugprot_gap_diagnosis_table.csv,Human-readable DrugProt gap Q&A,external_evaluation
external_evaluation/reports/tables/external_eval_consistency_checks.csv,Row-level consistency check results,external_evaluation
report/decision_analysis/final_model_selection_rule.json,Weighted multi-criteria default M015; profiles; penalties,decision_analysis
report/decision_analysis/final_model_selection_summary.csv,Per-model z-scores and composite scores by profile,decision_analysis
report/decision_analysis/model_role_assignment.csv,Default secondary conditional diagnostic roles,decision_analysis
report/decision_analysis/decision_weight_profiles.csv,Interpretable weight profiles for selection policy,decision_analysis
report/decision_analysis/decision_sensitivity_analysis.csv,Sensitivity of winner to BioRED vs BC5CDR weight shift,decision_analysis
report/decision_analysis/pairing_analysis_table.csv,Pairing-family F1 matrix by model,decision_analysis
report/decision_analysis/external_baseline_results.csv,Executed pairwise baseline contrasts on external tables,decision_analysis
report/decision_analysis/external_baseline_plan.json,Planned vs deferred baselines,decision_analysis
report/decision_analysis/future_enhancement_note.md,Ensemble/distillation deferred research note,decision_analysis
report/decision_analysis/final_model_selection_report.md,Full narrative: selection pairing clinical baselines,decision_analysis
report/decision_analysis/baseline_suite_audit.json,Audit classification per baseline or policy id (executed vs derived vs planned),decision_analysis
report/decision_analysis/baseline_suite_audit_table.csv,Human-readable audit table for baselines and DP policies,decision_analysis
report/decision_analysis/baseline_family_definition.csv,Baseline families rationale feasibility execution status,decision_analysis
report/decision_analysis/decision_policy_baseline_comparison.csv,Naive selection rules vs weighted default on shortlist,decision_analysis
report/decision_analysis/decision_policy_tradeoff_table.csv,Strengths weaknesses per policy winner,decision_analysis
report/decision_analysis/decision_policy_narrative.md,Narrative for DP1–DP6 policy baselines,decision_analysis
report/decision_analysis/executed_vs_unexecuted_baselines.csv,Explicit executed vs table-derived vs not run baselines,decision_analysis
report/decision_analysis/external_baseline_comparison_report.md,Eight-section baseline strengthening dossier,decision_analysis
knowledge_grounded_evidence_audit/reports/downstream_transfer_final_report.md,Final downstream transfer dossier Tier-1/2 join policy,downstream_transfer
knowledge_grounded_evidence_audit/reports/tables/final_project_joined_model_table.csv,Joined upstream external policy Tier-1 Tier-2 downstream,downstream_transfer
knowledge_grounded_evidence_audit/data/processed/final_downstream_transfer_selection_rule.json,Split downstream policy by objective,downstream_transfer
knowledge_grounded_evidence_audit/reports/external_baseline_downstream_bridge.md,Benchmark policy vs downstream utility bridge,downstream_transfer
report/final_project_closure_note.md,Closure checklist Tier-2 async,project
report/writing_support/rq_to_final_answer_map.csv,Headline vs supporting RQ one-line answers,writing_support
report/writing_support/rq_to_evidence_map.csv,RQ to artifact paths for citations,writing_support
report/writing_support/chapter_writing_map.md,Introduction Methods Results Discussion guidance,writing_support
report/writing_support/main_text_vs_appendix_plan.csv,Content unit placement for thesis/paper,writing_support
report/writing_support/canonical_numbers_registry.csv,Canonical numeric facts and sources,writing_support
report/writing_support/claim_boundary_registry.md,Strong cautious forbidden claims,writing_support
report/RQ_final_results_report.md,Final post-B.24 RQ-level evidence synthesis and claim traceability,phase_b_final
report/scripts/build_phase_b_final_assets.py,Regenerates final Phase B report figures/tables/data from analysis output LATEST files,phase_b_final
report/data/phase_b_ft_seedlevel.csv,190-row realised Phase B FT/RB seed-level reporting table,phase_b_final
report/data/phase_b_ft_cells.csv,10-cell realised Phase B FT/RB cell-level reporting table,phase_b_final
report/tables/table02_phase_b_cell_results.csv,Phase B final cell-level results table,phase_b_final
report/tables/table03_phase_b_hypothesis_summary.csv,H1-H7 plus RQ3 final summary table,phase_b_final
report/tables/table04_rq_evidence_matrix.csv,RQ-level evidence matrix and limitations,phase_b_final
report/figures/fig02_phase_b_benchmark.png,Final Phase B benchmark figure (RQ2),phase_b_final
report/figures/fig03_kb_surfacing_profiles.png,Final KB surfacing/RQ3 exploratory figure,phase_b_final
report/figures/fig04_h7_variance_ordinal.png,Final H7 variance and ordinal instability figure (RQ4),phase_b_final
report/figures/fig05_h6_slopes.png,Final H6 slope forest figure (RQ4),phase_b_final
report/figures/fig06_lora_collapse_audit.png,Final LoRA collapse methodological-null figure (H4),phase_b_final
