PMID,Abstract,Status,PMCID
8057077,"Inward rectifier (IR) K+ channels of bovine pulmonary artery endothelial cells were studied using the whole-cell, cell-attached, and outside-out patch-clamp configurations. The effects of Rb+ on the voltage dependence and kinetics of IR gating were explored, with [Rb+]o + [K+]o = 160 mM. Partial substitution of Rb+ for K+ resulted in voltage-dependent reduction of inward currents, consistent with Rb+ being a weakly permeant blocker of the IR. In cells studied with a K(+)-free pipette solution, external Rb+ reduced inward IR currents to a similar extent at large negative potentials but block at more positive potentials was enhanced. In outside-out patches, the single-channel i-V relationship was approximately linear in symmetrical K+, but rectified strongly outwardly in high [Rb+]o due to a reduced conductance for inward current. The permeability of Rb+ based on reversal potential, Vrev, was 0.45 that of K+, whereas the Rb+ conductance was much lower, 0.034 that of K+, measured at Vrev-80 mV. The steady state voltage-dependence of IR gating was determined in Rb(+)-containing solutions by applying variable prepulses, followed by a test pulse to a potential at which outward current deactivation was observed. As [Rb+]o was increased, the half-activation potential, V1/2, changed less than Vrev. In high [K+]o solutions V1/2 was Vrev-6 mV, while in high [Rb+]o V1/2 was Vrev + 7 mV. This behavior contrasts with the classical parallel shift of V1/2 with Vrev in K+ solutions. Steady state IR gating was less steeply voltage-dependent in high [Rb+]o than in K+ solutions, with Boltzmann slope factors of 6.4 and 4.4 mV, respectively. Rb+ decreased (slowed) both activation and deactivation rate constants defined at V1/2, and decreased the steepness of the voltage dependence of the activation rate constant by 42%. Deactivation of IR channels in outside-out patches was also slowed by Rb+. In summary, Rb+ can replace K+ in setting the voltage-dependence of IR gating, but in doing so alters the kinetics.",valid,2216865
27168519,"Self-harm (SH; intentional self-poisoning or self-injury) is common, often repeated, and associated with suicide. This is an update of a broader Cochrane review first published in 1998, previously updated in 1999, and now split into three separate reviews. This review focuses on psychosocial interventions in adults who engage in self-harm.",valid,8786273
20203436,"Fecal samples from Ruddy Shelduck, Tadorna ferruginea, were screened microscopically for Cryptosporidium oocysts. Five samples out of 148 ones (3.38%) were confirmed to be positive. DNA was extracted individually from positive samples and used for PCR amplification of SSU rDNA and HSP70 gene loci. The obtained PCR products were cloned in E. coli (TG1 strain) using pMD18-T vector and sequenced using standard methods. Microscopical and molecular analyses identified the obtained isolates as Cryptosporidium baileyi. To our knowledge, this is the first report of detection of C. baileyi from Ruddy Shelduck, Tadorna ferruginea, in China.",valid,
27353385,"Young women, especially adolescents, often lack access to modern contraception. Reasons vary by geography and regional politics and culture. The projected 2015 birth rate in 'developing' regions was 56 per 1000 compared with 17 per 1000 for 'developed' regions.",valid,9239532
34657444,[Figure: see text].,valid,
9294935,"Neuroleptic medications may result in extrapyramidal symptoms that can affect swallowing. Both oral and pharyngeal phases of swallowing may be affected. Unlike the more common causes of dysphagia, especially in the elderly, drug-induced dysphagia may be reversible. This report describes a case of neuroleptic-induced dysphagia in an elderly male with Alzheimer's disease. When the loxapine was discontinued, the dysphagia improved significantly.",valid,
23388799,We develop a new characteristic matrix-based method to analyze cyclotron resonance experiments in high mobility two-dimensional electron gas samples where direct interference between primary and satellite reflections has previously limited the frequency resolution. This model is used to simulate experimental data taken using terahertz time-domain spectroscopy that show multiple pulses from the substrate with a separation of 15 ps that directly interfere in the time-domain. We determine a cyclotron dephasing lifetime of 15.1 ± 0.5 ps at 1.5 K and 5.0 ± 0.5 ps at 75 K.,valid,
32272430,"Object recognition is a primary function of the human visual system. It has recently been claimed that the highly successful ability to recognise objects in a set of emergent computer vision systems-Deep Convolutional Neural Networks (DCNNs)-can form a useful guide to recognition in humans. To test this assertion, we systematically evaluated visual crowding, a dramatic breakdown of recognition in clutter, in DCNNs and compared their performance to extant research in humans. We examined crowding in three architectures of DCNNs with the same methodology as that used among humans. We manipulated multiple stimulus factors including inter-letter spacing, letter colour, size, and flanker location to assess the extent and shape of crowding in DCNNs. We found that crowding followed a predictable pattern across architectures that was different from that in humans. Some characteristic hallmarks of human crowding, such as invariance to size, the effect of target-flanker similarity, and confusions between target and flanker identities, were completely missing, minimised or even reversed. These data show that DCNNs, while proficient in object recognition, likely achieve this competence through a set of mechanisms that are distinct from those in humans. They are not necessarily equivalent models of human or primate object recognition and caution must be exercised when inferring mechanisms derived from their operation.",valid,
17722706,"It takes years for microvascular complications in diabetes mellitus such as diabetic retinopathy (RP) and nephropathy (NP) to develop. Since retinal and renal vessels are exposed to the diabetic milieu, it is often assumed that progression of diabetic RP and NP occurs at the same time. However, smaller studies have demonstrated that this may not always be the case. The present study was undertaken to correlate diabetic retinopathy with parameters of renal function in a large ambulatory collective of patients with Types 1 and 2 diabetes.",valid,
38084334,"To conduct the first scoping review of lumbosacral neuroforaminal stenosis with respect to the pathophysiology, symptomatic manifestations, diagnostic imaging, and treatment options.",valid,10702154
37150779,"Artificial intelligence (AI) is transforming the field of medical imaging and has the potential to bring medicine from the era of 'sick-care' to the era of healthcare and prevention. The development of AI requires access to large, complete, and harmonized real-world datasets, representative of the population, and disease diversity. However, to date, efforts are fragmented, based on single-institution, size-limited, and annotation-limited datasets. Available public datasets (e.g., The Cancer Imaging Archive, TCIA, USA) are limited in scope, making model generalizability really difficult. In this direction, five European Union projects are currently working on the development of big data infrastructures that will enable European, ethically and General Data Protection Regulation-compliant, quality-controlled, cancer-related, medical imaging platforms, in which both large-scale data and AI algorithms will coexist. The vision is to create sustainable AI cloud-based platforms for the development, implementation, verification, and validation of trustable, usable, and reliable AI models for addressing specific unmet needs regarding cancer care provision. In this paper, we present an overview of the development efforts highlighting challenges and approaches selected providing valuable feedback to future attempts in the area.Key points• Artificial intelligence models for health imaging require access to large amounts of harmonized imaging data and metadata.• Main infrastructures adopted either collect centrally anonymized data or enable access to pseudonymized distributed data.• Developing a common data model for storing all relevant information is a challenge.• Trust of data providers in data sharing initiatives is essential.• An online European Union meta-tool-repository is a necessity minimizing effort duplication for the various projects in the area.",valid,10164664
33095090,"Peripheral lymphopenia is a well-known negative prognostic marker in classical Hodgkin lymphoma (cHL). We characterized the peripheral B-cell compartment in a prospective cohort of 83 pediatric cHL patients. We observed significantly low total B-cell counts (<100 cells/µl) in 31 of 83 patients (37%). More specifically, there was a smaller peripheral IgD",valid,
31030749,"Heparin is an anticoagulant medication that was discovered in 1917 and used in clinic since 1935. Low molecular weight heparins (LMWHs) represent a refined use of heparin as anticoagulant medications that were developed in 1980s. LMWHs are obtained by cleaving heparin with different chemical or enzymatic methods. Eight chemically distinct and officially approved LMWHs are Bemiparin, Certoparin, Dalteparin, Enoxaparin, Nadroparin, Parnaparin, Reviparin, and Tinzaparin. LMWHs are mainly used for preventing blood clots, for treating deep vein thrombosis and pulmonary embolism, and for treating myocardial infarction. LMWHs have advantages over heparin in that they can be used at home with good predictability, dose-dependent plasma levels, a long half-life, less bleeding for a given antithrombotic even, smaller risk of osteoporosis in long-term use, and smaller risk of heparin-induced thrombocytopenia and thrombosis, a potential side effect of heparin. However, heparin is reversible with protamine sulfate while LMWHs have no antidote. Moreover, LMWHs have less of an effect on inhibiting thrombin activity than heparin. Furthermore, patients with end-stage renal diseases have to use heparin because LMWHs are dependent on functioning kidney for their clearance but heparin is primarily cleared in the liver. We will review the recent progress made on the clinically approved and under clinical trialed LMWHs and their potential medical applications. In particular, we will provide an update on the chemical characteristics and clinical use of different branded LMWHs. In addition, the potential clinical applications of LMWHs in other therapeutic area will also be discussed.",valid,
31304827,"This is a review of developments in the field of potency, which is an essential estimator for drug design. We discuss the basic concepts of research and discovery, focusing on how misinterpretation in this area, - but also intuition and serendipity, which are common in drug design - helped us to pave a bumpy road towards better drugs. How far we still are from this goal can be seen in the Eroom law, which states that the efficiency of pharma research and development is decreasing. At the same time, pharma bestsellers are getting older.",valid,
23352618,"Haptic information, provided by a non-rigid tool (i.e., an ""anchor system""), can reduce body sway in individuals who perform a standing postural task. However, it was not known whether or not continuous use of the anchor system would improve postural control after its removal. Additionally, it was unclear as to whether or not frequency of use of the anchor system is related to improved control in older adults. The present study evaluated the effect of the prolonged use of the anchor system on postural control in healthy older individuals, at different frequencies of use, while they performed a postural control task (semi-tandem position). Participants were divided into three groups according to the frequency of the anchor system's use (0%, 50%, and 100%). Pre-practice phase (without anchor) was followed by a practice phase (they used the anchor system at the predefined frequency), and a post-practice phase (immediate and late-without anchor). All three groups showed a persistent effect 15min after the end of the practice phase (immediate post-practice phase). However, only the 50% group showed a persistent effect in the late post-practice phase (24h after finishing the practice phase). Older adults can improve their postural control by practicing the standing postural task, and use of the anchor system limited to half of their practice time can provide additional improvement in their postural control.",valid,
35836323,The incidence of feeding and eating problems and disorders (FEPD) in children increased during the coronavirus disease 2019 (COVID-19) pandemic. The aim of this study was to assess the impact of the COVID-19 pandemic on young children with FEPD and their parents.,valid,9470045
2316808,"This study compares the traditional method (TM) of evaluating ward performance on the surgical clerkship with four structured, single-observer methods (SSOM) of evaluating the clinical skills demonstrated in patient workups, progress notes, physical examination, and technical performance. SSOM differed from TM in preciseness of evaluation criteria, training of evaluator, and amount of direct observation of clinical performance. SSOM appeared to be a more precise measurement instrument than TM and far more sensitive to the detection of clinical improvement. The study documents the significant contribution of a nurse-educator to the evaluation process, as this contribution correlates well with TM yet provides a unique and independent perspective. Finally, SSOM of evaluation correlated significantly with oral examination and the National Board of Medical Examiners (NBME) test results. Addition of SSOM to TM is recommended for clerkship evaluation of ward performance.",valid,
7049964,"Tc99m labeled diethylenetriaminepentaacetic acid (Tc-99m-DTPA) is an appropriate in vivo test solute for all extracorporeal detoxification procedures. The molecular weight of the Tc-99m-DTPA complex is within the biologically relevant middle molecular range of 400 to 700 daltons. Tc-99m-DTPA is distributed in the extracellular space in the same way as inulin. Regarding its localization in the gel filtration spectra and plasma clearance, Tc-99m-DTPA corresponds to middle molecule peak 2. The evaluation of elimination rate and plasma clearance CP of Tc-99m-DTPA is possible by measuring the pulse rates before and after the detoxification device. Taking into account the corrections for Ht and UFR, the Tc-99m-DTPA plasma clearances were calculated for different dialyzers, high flux dialyzers, hemofilters and a hemoperfusion device. The continuous measurement of pulse rates and the use of a UFR-controller (A2008) allow an exact tracking of CP vs. time, the estimation of CP (QB), CP(UFR) and of the sieving coefficient. Examples are given for these cases. It was shown that an increase in plasma clearance to more than about 100 ml/min does not greatly increase the Tc-99m-DTPA elimination rate.",valid,
