PMID,Abstract,Status
8057077,"Inward rectifier (IR) K+ channels of bovine pulmonary artery endothelial cells were studied using the whole-cell, cell-attached, and outside-out patch-clamp configurations. The effects of Rb+ on the voltage dependence and kinetics of IR gating were explored, with [Rb+]o + [K+]o = 160 mM. Partial substitution of Rb+ for K+ resulted in voltage-dependent reduction of inward currents, consistent with Rb+ being a weakly permeant blocker of the IR. In cells studied with a K(+)-free pipette solution, external Rb+ reduced inward IR currents to a similar extent at large negative potentials but block at more positive potentials was enhanced. In outside-out patches, the single-channel i-V relationship was approximately linear in symmetrical K+, but rectified strongly outwardly in high [Rb+]o due to a reduced conductance for inward current. The permeability of Rb+ based on reversal potential, Vrev, was 0.45 that of K+, whereas the Rb+ conductance was much lower, 0.034 that of K+, measured at Vrev-80 mV. The steady state voltage-dependence of IR gating was determined in Rb(+)-containing solutions by applying variable prepulses, followed by a test pulse to a potential at which outward current deactivation was observed. As [Rb+]o was increased, the half-activation potential, V1/2, changed less than Vrev. In high [K+]o solutions V1/2 was Vrev-6 mV, while in high [Rb+]o V1/2 was Vrev + 7 mV. This behavior contrasts with the classical parallel shift of V1/2 with Vrev in K+ solutions. Steady state IR gating was less steeply voltage-dependent in high [Rb+]o than in K+ solutions, with Boltzmann slope factors of 6.4 and 4.4 mV, respectively. Rb+ decreased (slowed) both activation and deactivation rate constants defined at V1/2, and decreased the steepness of the voltage dependence of the activation rate constant by 42%. Deactivation of IR channels in outside-out patches was also slowed by Rb+. In summary, Rb+ can replace K+ in setting the voltage-dependence of IR gating, but in doing so alters the kinetics.",valid
27168519,"Self-harm (SH; intentional self-poisoning or self-injury) is common, often repeated, and associated with suicide. This is an update of a broader Cochrane review first published in 1998, previously updated in 1999, and now split into three separate reviews. This review focuses on psychosocial interventions in adults who engage in self-harm. To assess the effects of specific psychosocial treatments versus treatment as usual, enhanced usual care or other forms of psychological therapy, in adults following SH. The Cochrane Depression, Anxiety and Neurosis Group (CCDAN) trials coordinator searched the CCDAN Clinical Trials Register (to 29 April 2015). This register includes relevant randomised controlled trials (RCTs) from: the Cochrane Library (all years), MEDLINE (1950 to date), EMBASE (1974 to date), and PsycINFO (1967 to date). We included RCTs comparing psychosocial treatments with treatment as usual (TAU), enhanced usual care (EUC) or alternative treatments in adults with a recent (within six months) episode of SH resulting in presentation to clinical services. We used Cochrane's standard methodological procedures. We included 55 trials, with a total of 17,699 participants. Eighteen trials investigated cognitive-behavioural-based psychotherapy (CBT-based psychotherapy; comprising cognitive-behavioural, problem-solving therapy or both). Nine investigated interventions for multiple repetition of SH/probable personality disorder, comprising emotion-regulation group-based psychotherapy, mentalisation, and dialectical behaviour therapy (DBT). Four investigated case management, and 11 examined remote contact interventions (postcards, emergency cards, telephone contact). Most other interventions were evaluated in only single small trials of moderate to very low quality.There was a significant treatment effect for CBT-based psychotherapy compared to TAU at final follow-up in terms of fewer participants repeating SH (odds ratio (OR) 0.70, 95% confidence interval (CI) 0.55 to 0.88; number of studies k = 17; N = 2665; GRADE: low quality evidence), but with no reduction in frequency of SH (mean difference (MD) -0.21, 95% CI -0.68 to 0.26; k = 6; N = 594; GRADE: low quality).For interventions typically delivered to individuals with a history of multiple episodes of SH/probable personality disorder, group-based emotion-regulation psychotherapy and mentalisation were associated with significantly reduced repetition when compared to TAU: group-based emotion-regulation psychotherapy (OR 0.34, 95% CI 0.13 to 0.88; k = 2; N = 83; GRADE: low quality), mentalisation (OR 0.35, 95% CI 0.17 to 0.73; k = 1; N = 134; GRADE: moderate quality). Compared with TAU, dialectical behaviour therapy (DBT) showed a significant reduction in frequency of SH at final follow-up (MD -18.82, 95% CI -36.68 to -0.95; k = 3; N = 292; GRADE: low quality) but not in the proportion of individuals repeating SH (OR 0.57, 95% CI 0.21 to 1.59, k = 3; N = 247; GRADE: low quality). Compared with an alternative form of psychological therapy, DBT-oriented therapy was also associated with a significant treatment effect for repetition of SH at final follow-up (OR 0.05, 95% CI 0.00 to 0.49; k = 1; N = 24; GRADE: low quality). However, neither DBT vs 'treatment by expert' (OR 1.18, 95% CI 0.35 to 3.95; k = 1; N = 97; GRADE: very low quality) nor prolonged exposure DBT vs standard exposure DBT (OR 0.67, 95% CI 0.08 to 5.68; k = 1; N =18; GRADE: low quality) were associated with a significant reduction in repetition of SH.Case management was not associated with a significant reduction in repetition of SH at post intervention compared to either TAU or enhanced usual care (OR 0.78, 95% CI 0.47 to 1.30; k = 4; N = 1608; GRADE: moderate quality). Continuity of care by the same therapist vs a different therapist was also not associated with a significant treatment effect for repetition (OR 0.28, 95% CI 0.07 to 1.10; k = 1; N = 136; GRADE: very low quality). None of the following remote contact interventions were associated with fewer participants repeating SH compared with TAU: adherence enhancement (OR 0.57, 95% CI 0.32 to 1.02; k = 1; N = 391; GRADE: low quality), mixed multimodal interventions (comprising psychological therapy and remote contact-based interventions) (OR 0.98, 95% CI 0.68 to 1.43; k = 1 study; N = 684; GRADE: low quality), including a culturally adapted form of this intervention (OR 0.83, 95% CI 0.44 to 1.55; k = 1; N = 167; GRADE: low quality), postcards (OR 0.87, 95% CI 0.62 to 1.23; k = 4; N = 3277; GRADE: very low quality), emergency cards (OR 0.82, 95% CI 0.31 to 2.14; k = 2; N = 1039; GRADE: low quality), general practitioner's letter (OR 1.15, 95% CI 0.93 to 1.44; k = 1; N = 1932; GRADE: moderate quality), telephone contact (OR 0.74, 95% CI 0.42 to 1.32; k = 3; N = 840; GRADE: very low quality), and mobile telephone-based psychological therapy (OR not estimable due to zero cell counts; GRADE: low quality).None of the following mixed interventions were associated with reduced repetition of SH compared to either alternative forms of psychological therapy: interpersonal problem-solving skills training, behaviour therapy, home-based problem-solving therapy, long-term psychotherapy; or to TAU: provision of information and support, treatment for alcohol misuse, intensive inpatient and community treatment, general hospital admission, or intensive outpatient treatment.We had only limited evidence on whether the intervention had different effects in men and women. Data on adverse effects, other than planned outcomes relating to suicidal behaviour, were not reported. CBT-based psychological therapy can result in fewer individuals repeating SH; however, the quality of this evidence, assessed using GRADE criteria, ranged between moderate and low. Dialectical behaviour therapy for people with multiple episodes of SH/probable personality disorder may lead to a reduction in frequency of SH, but this finding is based on low quality evidence. Case management and remote contact interventions did not appear to have any benefits in terms of reducing repetition of SH. Other therapeutic approaches were mostly evaluated in single trials of moderate to very low quality such that the evidence relating to these interventions is inconclusive.",valid
20203436,"Fecal samples from Ruddy Shelduck, Tadorna ferruginea, were screened microscopically for Cryptosporidium oocysts. Five samples out of 148 ones (3.38%) were confirmed to be positive. DNA was extracted individually from positive samples and used for PCR amplification of SSU rDNA and HSP70 gene loci. The obtained PCR products were cloned in E. coli (TG1 strain) using pMD18-T vector and sequenced using standard methods. Microscopical and molecular analyses identified the obtained isolates as Cryptosporidium baileyi. To our knowledge, this is the first report of detection of C. baileyi from Ruddy Shelduck, Tadorna ferruginea, in China.",valid
27353385,"Young women, especially adolescents, often lack access to modern contraception. Reasons vary by geography and regional politics and culture. The projected 2015 birth rate in 'developing' regions was 56 per 1000 compared with 17 per 1000 for 'developed' regions. To identify school-based interventions that improved contraceptive use among adolescents Until 6 June 2016, we searched for eligible trials in PubMed, CENTRAL, ERIC, Web of Science, POPLINE, ClinicalTrials.gov and ICTRP. We considered randomized controlled trials (RCTs) that assigned individuals or clusters. The majority of participants must have been 19 years old or younger.The educational strategy must have occurred primarily in a middle school or high school. The intervention had to emphasize one or more effective methods of contraception. Our primary outcomes were pregnancy and contraceptive use. We assessed titles and abstracts identified during the searches. One author extracted and entered the data into RevMan; a second author verified accuracy. We examined studies for methodological quality.For unadjusted dichotomous outcomes, we calculated the Mantel-Haenszel odds ratio (OR) with 95% confidence interval (CI). For cluster randomized trials, we used adjusted measures, e.g. OR, risk ratio, or difference in proportions. For continuous outcomes, we used the adjusted mean difference (MD) or other measures from the models. We did not conduct meta-analysis due to varied interventions and outcome measures. The 11 trials included 10 cluster RCTs and an individually randomized trial. The cluster RCTs had sample sizes from 816 to 10,954; the median number of clusters was 24. Most trials were conducted in the USA and UK; one was from Mexico and one from South Africa.We focus here on the trials with moderate quality evidence and an intervention effect. Three addressed preventing pregnancy and HIV/STI through interactive sessions. One trial provided a multifaceted two-year program. Immediately after year one and 12 months after year two, the intervention group was more likely than the standard-curriculum group to report using effective contraception during last sex (reported adjusted ORs 1.62 ± standard error (SE) 0.22) and 1.76 ± SE 0.29), condom use during last sex (reported adjusted ORs 1.91 ± SE 0.27 and 1.68 ± SE 0.25), and less frequent sex without a condom in the past three months (reported ratios of adjusted means 0.50 ± SE 0.31 and 0.63 ± SE 0.23). Another trial compared multifaceted two-year programs on sexual risk reduction and risk avoidance (abstinence-focused) versus usual health education. At 3 months, the risk reduction group was less likely than the usual-education group to report no condom use at last intercourse (reported adjusted OR 0.67, 95% CI 0.47 to 0.96) and sex without a condom in the last three months (reported adjusted OR 0.59, 95% CI 0.36 to 0.95). At 3 and after 15 months, the risk avoidance group was also less likely than the usual-education group to report no condom use at last intercourse (reported adjusted ORs 0.70, 95% CI 0.52 to 0.93; and 0.61, 95% CI 0.45 to 0.85). At the same time points, the risk reduction group had a higher score than the usual-education group for condom knowledge. The third trial provided a peer-led program with eight interactive sessions. At 17 months, the intervention group was less likely than the teacher-led group to report oral contraceptive use during last sex (OR 0.57, 95% CI 0.36 to 0.91). This difference may not have been significant if the investigators had adjusted for the clustering. At 5 and 17 months, the peer-led group had a greater mean increase in knowledge of HIV and pregnancy prevention compared with the control group. An additional trial showed an effect on knowledge only. The group with an emergency contraception (EC) session was more likely than the group without the EC unit to know the time limits for using hormonal EC (pill) and the non-hormonal IUD as EC. Since most trials addressed preventing STI/HIV and pregnancy, they emphasized condom use. However, several studies covered a range of contraceptive methods. The overall quality of evidence was low. Main reasons for downgrading the evidence were having limited information on intervention fidelity, analyzing a subsample rather than all those randomized, and having high losses.",valid
34657444,[Figure: see text].,valid
9294935,"Neuroleptic medications may result in extrapyramidal symptoms that can affect swallowing. Both oral and pharyngeal phases of swallowing may be affected. Unlike the more common causes of dysphagia, especially in the elderly, drug-induced dysphagia may be reversible. This report describes a case of neuroleptic-induced dysphagia in an elderly male with Alzheimer's disease. When the loxapine was discontinued, the dysphagia improved significantly.",valid
23388799,We develop a new characteristic matrix-based method to analyze cyclotron resonance experiments in high mobility two-dimensional electron gas samples where direct interference between primary and satellite reflections has previously limited the frequency resolution. This model is used to simulate experimental data taken using terahertz time-domain spectroscopy that show multiple pulses from the substrate with a separation of 15 ps that directly interfere in the time-domain. We determine a cyclotron dephasing lifetime of 15.1 ± 0.5 ps at 1.5 K and 5.0 ± 0.5 ps at 75 K.,valid
32272430,"Object recognition is a primary function of the human visual system. It has recently been claimed that the highly successful ability to recognise objects in a set of emergent computer vision systems-Deep Convolutional Neural Networks (DCNNs)-can form a useful guide to recognition in humans. To test this assertion, we systematically evaluated visual crowding, a dramatic breakdown of recognition in clutter, in DCNNs and compared their performance to extant research in humans. We examined crowding in three architectures of DCNNs with the same methodology as that used among humans. We manipulated multiple stimulus factors including inter-letter spacing, letter colour, size, and flanker location to assess the extent and shape of crowding in DCNNs. We found that crowding followed a predictable pattern across architectures that was different from that in humans. Some characteristic hallmarks of human crowding, such as invariance to size, the effect of target-flanker similarity, and confusions between target and flanker identities, were completely missing, minimised or even reversed. These data show that DCNNs, while proficient in object recognition, likely achieve this competence through a set of mechanisms that are distinct from those in humans. They are not necessarily equivalent models of human or primate object recognition and caution must be exercised when inferring mechanisms derived from their operation.",valid
17722706,"It takes years for microvascular complications in diabetes mellitus such as diabetic retinopathy (RP) and nephropathy (NP) to develop. Since retinal and renal vessels are exposed to the diabetic milieu, it is often assumed that progression of diabetic RP and NP occurs at the same time. However, smaller studies have demonstrated that this may not always be the case. The present study was undertaken to correlate diabetic retinopathy with parameters of renal function in a large ambulatory collective of patients with Types 1 and 2 diabetes. The study design was cross-sectional. Ambulatory patients from a large university out-patient clinic were studied (323 patients with Type 1, 906 patients with Type 2 diabetes). RP status was obtained through retinal photography by an experienced ophthalmologist and was grouped into no RP, RP Stages 1-3, or blind. Retinal pathology was correlated with clinical parameters of renal function (proteinuria, estimated glomerular filtration rate according to the MDRD formula, presence of urinary sediment abnormalities, hypertension). No patient showed urinary sediment abnormalities (e.g. presence of hematuria or acanthocytes) or increased urinary excretion of immunoglobulin light chains suggesting the absence of other nondiabetic renal diseases. The majority of Type 1 diabetes patients with macroalbuminuria (> or = 200 mg/l) had some signs of RP independent of the presence of hypertension. There was a correlation between RP and microalbuminuria (r = 0.164, p < 0.01). In contrast, up to 47.5% of the hypertensive patients with Type 2 diabetes and overt proteinuria had no signs of RP. There was also discordance of microalbuminuria and RP in patients with Type 2 diabetes. Stratification according to K/DOQI States 2-5 (MDRD formula) showed that the majority of patients with Type 1 diabetes in States 3-5 had signs of RP, albeit the absolute number of patients in these K/DOQI stages was very small. In contrast, up to 40% of dialysis-dependent Type 2 diabetics (K/DOQI State 5) showed no evidence of RP. This study revealed that many patients with Type 2 diabetes and renal abnormalities (proteinuria and/or renal insufficiency) showed, in contrast to Type 1 diabetics, no signs of RP. Our study was, however, limited by the lack of renal biopsies. Although urinary sediment analysis was normal in these patients, other causes for renal insufficiency (e.g. vascular nephropathy), especially in Type 2 diabetics, cannot be excluded. Nevertheless, we believe that absence of RP in patients with Type 2 diabetes does not imply that renal abnormalities including diabetic nephropathy, are also absent. It is recommended that these patients undergo renal biopsy.",valid
38084334,"To conduct the first scoping review of lumbosacral neuroforaminal stenosis with respect to the pathophysiology, symptomatic manifestations, diagnostic imaging, and treatment options. A scoping literature review was conducted in accordance with the recommendations set forth by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA), with English language restrictions stipulated to include articles pertaining to lumbosacral neuroforaminal stenosis. Databases maintained by PubMed, National Library of Medicine, Cochrane Central Register of Controlled Trials (Ovid), Scopus (Elsevier), Web of Science (Thomson Reuters), and Google Scholar were queried from their inception date through December 2022. A total of 276 articles were reviewed and 29 articles were included within the study. Within these articles, the anatomic origins of neuroforaminal stenosis were reviewed in detail and the resulting clinical manifestations were discussed. Recent studies evaluating the efficacy of existing diagnostic imaging modalities were summarized, along with potential future methods to improve sensitivity for detecting this entity and measuring foraminal stenosis via novel imaging techniques. Based on the literature, the conservative management and surgical treatment of lumbosacral foraminal stenosis were discussed. Lumbar neuroforaminal stenosis represents a significant source of radicular pain that is often compounded by delayed diagnosis and incomplete treatment. This article represents the first scoping review of lumbosacral neuroforaminal stenosis with focus on diagnosis, management, and treatment for associated radicular pain. The goal is to reduce the incidence of untreated or unrecognized neuroforaminal stenosis in the setting of a complex decompression and fusion, as well as to promote minimally invasive surgery to address radicular pain from neuroforaminal stenosis. Recent advances in diagnostic imaging and surgical techniques have the potential to improve the timeliness and durability of patients' treatment options. Future directions for the diagnostic imaging of foraminal stenosis include efforts aimed at developing the nascent field of computerized mapping to reliably quantify stenosis and its impact on the exiting nerve root and associated dorsal root ganglia.",valid
