base_experiment_id,cluster_mechanism_drug_gene_f1,precision_oncology_variant_disease_f1,assoc_gene_disease_f1,therapy_chem_dd_f1,interpretability_note
M003,0.4139,0.6495,0.5276,0.516,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M005,0.405,0.6238,0.4926,0.5468,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M009,0.3817,0.5514,0.4738,0.5282,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M010,0.345,0.5818,0.4217,0.4992,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M015,0.4037,0.5482,0.5301,0.5147,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M021,0.4024,0.699,0.6289,0.5602,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M025,0.3425,0.5348,0.4543,0.5046,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
M026,0.3512,0.5571,0.4947,0.5291,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
S001,0.3681,0.5131,0.4765,0.5361,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
S002,0.4342,0.5552,0.5114,0.5726,Drug–gene lowest across models → schema collapses DrugProt mechanisms to DRUG_GENE_REGULATION
